Year,Month,Sales Date,Sales Person,Customer,Segment,Sales,Order Number,,366048
2024,1,1/1/24,John Doe,Amazon,R&D,7957,1000,,
2024,1,1/2/24,Samantha Ray,Microsoft,Software,13078,1001,,
2024,1,1/3/24,Jane Smith,Amazon,Hardware,17367,1002,,
2024,1,1/4/24,Alex Johnson,Microsoft,R&D,5857,1003,,
2024,1,1/5/24,Jane Smith,Facebook,R&D,17209,1004,,
2024,1,1/6/24,John Doe,Amazon,Hardware,5787,1005,,
2024,1,1/7/24,Jane Smith,Apple,R&D,5117,1006,,
2024,1,1/8/24,John Doe,Apple,R&D,15585,1007,,
2024,1,1/9/24,Michael Brown,Facebook,Software,14143,1008,,
2024,1,1/10/24,Samantha Ray,Facebook,Software,15300,1009,,
2024,1,1/11/24,Samantha Ray,Google,Hardware,15835,1010,,
2024,1,1/12/24,Samantha Ray,Apple,Hardware,10439,1011,,
2024,1,1/13/24,Michael Brown,Facebook,Hardware,18688,1012,,
2024,1,1/14/24,John Doe,Amazon,Software,17537,1013,,
2024,1,1/15/24,Samantha Ray,Amazon,Software,12262,1014,,
2024,1,1/16/24,John Doe,Amazon,Hardware,10479,1015,,
2024,1,1/17/24,Jane Smith,Microsoft,Software,12088,1016,,
2024,1,1/18/24,Jane Smith,Microsoft,Software,6886,1017,,
2024,1,1/19/24,John Doe,Apple,Software,6610,1018,,
2024,1,1/20/24,John Doe,Apple,Hardware,12171,1019,,
2024,1,1/21/24,Alex Johnson,Google,Hardware,9588,1020,,
2024,1,1/22/24,Michael Brown,Amazon,Hardware,16311,1021,,
2024,1,1/23/24,Michael Brown,Facebook,Hardware,10279,1022,,
2024,1,1/24/24,Michael Brown,Facebook,Software,6981,1023,,
2024,1,1/25/24,Jane Smith,Apple,R&D,5197,1024,,
2024,1,1/26/24,Samantha Ray,Google,Software,9780,1025,,
2024,1,1/27/24,John Doe,Google,Hardware,15824,1026,,
2024,1,1/28/24,Alex Johnson,Google,Software,7088,1027,,
2024,1,1/29/24,Michael Brown,Microsoft,Software,18622,1028,,
2024,1,1/30/24,John Doe,Microsoft,Software,8195,1029,,
2024,1,1/31/24,Jane Smith,Apple,R&D,17788,1030,,
2024,2,2/1/24,Jane Smith,Microsoft,R&D,16220,1031,,
2024,2,2/2/24,Jane Smith,Facebook,Hardware,17349,1032,,
2024,2,2/3/24,Samantha Ray,Google,Software,19172,1033,,
2024,2,2/4/24,Alex Johnson,Facebook,R&D,17511,1034,,
2024,2,2/5/24,Jane Smith,Amazon,Software,17409,1035,,
2024,2,2/6/24,John Doe,Facebook,Hardware,13438,1036,,
2024,2,2/7/24,Jane Smith,Amazon,R&D,8386,1037,,
2024,2,2/8/24,Alex Johnson,Apple,Hardware,15786,1038,,
2024,2,2/9/24,Alex Johnson,Facebook,R&D,8138,1039,,
2024,2,2/10/24,Alex Johnson,Facebook,Hardware,16995,1040,,
2024,2,2/11/24,Alex Johnson,Google,R&D,19414,1041,,
2024,2,2/12/24,Michael Brown,Microsoft,Software,15327,1042,,
2024,2,2/13/24,Michael Brown,Amazon,Hardware,5586,1043,,
2024,2,2/14/24,Samantha Ray,Microsoft,Hardware,6163,1044,,
2024,2,2/15/24,Alex Johnson,Apple,Software,13983,1045,,
2024,2,2/16/24,John Doe,Google,R&D,13738,1046,,
